"Código";"Linha";"Montadora";"Peça";"Aplicação"
"BR-2101";"Borracha";"Mercedes";"Kit batente da mola traseira BR-2087: 01 PC BR-2102: 01 PC Accelo 815-44 - 915C - 1016-31 1016-37 - 1016-44 - 1316-37 6X2 - 1316-44 6X2 - 715 - 815-31 - 815-37 815-44 - 915 - 915C Ônibus (Euros 2010 em diante) LO815-42 - LO916-45 - LO916-";"Kit batente da mola traseira BR-2087: 01 PC BR-2102: 01 PC Accelo 815-44 - 915C - 1016-31 1016-37 - 1016-44 - 1316-37 6X2 - 1316-44 6X2 - 715 - 815-31 - 815-37 815-44 - 915 - 915C Ônibus (Euros 2010 em diante) LO815-42 - LO916-45 - LO916-"
"BR-2103";"Borracha";"Mercedes";"Abraçadeira da mola traseira (menor) Accelo 815-44 - 915C - 1016-31 1016-37 - 1016-44 - 1316-37 6X2 - 1316-44 6X2 - 715 - 815-31 - 815-37 815-44 - 915 - 915C Ônibus (Euros 2010 em diante) LO815-42 - LO916-45 - LO916-48";"Abraçadeira da mola traseira (menor) Accelo 815-44 - 915C - 1016-31 1016-37 - 1016-44 - 1316-37 6X2 - 1316-44 6X2 - 715 - 815-31 - 815-37 815-44 - 915 - 915C Ônibus (Euros 2010 em diante) LO815-42 - LO916-45 - LO916-48"
"BR-2103A";"Borracha";"Mercedes";"Abraçadeira da mola traseira (maior) Accelo 815-44 - 915C - 1016-31 1016-37 - 1016-44 - 1316-37 6X2 - 1316-44 6X2 - 715 - 815-31 - 815-37 815-44 - 915 - 915C Ônibus (Euros 2010 em diante) LO815-42 - LO916-45 - LO916-";"Abraçadeira da mola traseira (maior) Accelo 815-44 - 915C - 1016-31 1016-37 - 1016-44 - 1316-37 6X2 - 1316-44 6X2 - 715 - 815-31 - 815-37 815-44 - 915 - 915C Ônibus (Euros 2010 em diante) LO815-42 - LO916-45 - LO916-"
"BR-2104";"Borracha";"Mercedes";"Kit de Borrachas do amortecedor traseiro, superior e inferior BR-2099: 02 PC BR-2004: 02 PC Accelo 17";"Kit de Borrachas do amortecedor traseiro, superior e inferior BR-2099: 02 PC BR-2004: 02 PC Accelo 17"
"BR-0316";"Borracha";"Mercedes-Benz Sprinter";"Bucha Da Ponta Estabilizador Traseiro Diâmetro aba ø 41,0mm Diâmetro corpo ø 31,0mm Interno ø 12,5mm Comprimento 36,0mm";"Bucha Da Ponta Estabilizador Traseiro Diâmetro aba ø 41,0mm Diâmetro corpo ø 31,0mm Interno ø 12,5mm Comprimento 36,0mm Sprinter 311 - 415 2013/"
"BR-0317";"Borracha";"Mercedes-Benz Sprinter";"Bucha Do Olho Da Mola Traseiro Diâmetro aba ø 70,0mm Diâmetro corpo ø 60,0mm Interno ø 12,5mm Comprimento 80,0mm";"Bucha Do Olho Da Mola Traseiro Diâmetro aba ø 70,0mm Diâmetro corpo ø 60,0mm Interno ø 12,5mm Comprimento 80,0mm Sprinter 311 - 415 - 515 2012 em diante"
"BR-0320";"Borracha";"Mercedes-Benz Sprinter";"Borracha do jumelo traseiro";"Borracha do jumelo traseiro Sprinter"
"BR-0321";"Borracha";"Mercedes-Benz Sprinter";"Borracha da bandeja dianteira superior";"Borracha da bandeja dianteira superior Sprinter 47"
"BR-0800A";"Borracha";"Mitsubishi";"Borracha da barra estabilizadora dianteira Interno ø 27,0mm L200 GLS / OUTDOOR / HPE";"Borracha da barra estabilizadora dianteira Interno ø 27,0mm L200 GLS / OUTDOOR / HPE"
"BR-0808A";"Borracha";"Mitsubishi";"Borracha da bieleta L200";"Borracha da bieleta L200"
